,reviews,rating,reivew_time
0,"Bokan is a 3 level rooftop bar, with a view over whole London, from the City. The atmosphere is relaxed and cheerful, there is live music and friendly service. The prices are very reasonable and it is just a perfect start for a Friday night! There is also an outside area where you can sunbath, and smoking is permitted there. There are also heaters to be able to enjoy it when it is cold. All in all, a fantastic place, perfect to start the weekend at!",5,a day ago
1,"Top floor bar with stunning views (even views from the bathroom's ceiling to floor windows!). I have been here numerous times. The drinks are a bit overpriced and the downside is, you are sort of made to sit at a table and get table service, and then get charged for table service. I would much prefer just being able to pick up my drink from the main bar. I have stayed in the attached hotel and had breakfast up here too which was excellent (and much more peaceful).",5,2 weeks ago
2,"Bokan is a 3 level rooftop bar, with a view over whole London, from the City. The atmosphere is relaxed and cheerful, there is live music and friendly service. The prices are very reasonable and it is just a perfect start for a Friday night! There is also an outside area where you can sunbath, and smoking is permitted there. There are also heaters to be able to enjoy it when it is cold. All in all, a fantastic place, perfect to start the weekend at!",5,a month ago
3,If you're after a sensational view of London this is it. Bar prices are not cheap but realistically if you're after amazing you pay for it. Gorgeous sunsets and view across the Thames. Restaurant also provides great food (albeit limited veg) and wine but again you pay for it... That said is London and a brilliant view and hard to fault quality... Recommend and will continue visiting,5,2 months ago
4,"Visited here in Sept with my son so that we could experience the views from the bar and we were not disappointed. Staff are courteous and friendly. We ordered a couple of drinks but they also do some light bites that did look really nice. We were pushed for time so ordered a dish of salted mixed nuts to go with our drinks and we then relaxed and took in the views. Would highly recommend this place for a nice drink, great staff and wonderful views across the city.",5,3 months ago
5,"Rooftop bar in Canary Wharf with a beautiful view of London and live music on Saturdays. Prices are not too bad apart from £5 for a simple hot chocolate, so don’t order it, it is not worthy the money. If you want to have a table with a view, my advice is to book in advance. Waiters need better coordination, they wanted to charge me twice for the drinks.",4,a month ago
6,"After the lovely reviews and some research I visited Bokan Bar with my wife and her parents for NYE. I must say that the staff absolutely ruined the experience. There was a private section reserved for staff and presumably VIP guests on the side of the fire works. At midnight some people moved the boundary and walked in to the area and we thought that it is open for all guests temporarily while the firework lasts. We walked a few steps inside the area and shortly after a member of staff stepped in front of me and said that I can listen to him or he can call security (3 minutes in the new year). There are levels to how a waiter should communicate to a guest and this is coming from someone who spent years in a high end bar during university years. Threatening to call security should be the last resort and not the first. Sorry but I expected more from a place like this. I appreciate that the area was reserved, but for £50 entry fee I would expect more professionalism in the most memorable moment of the evening. While leaving the venue, we had an interesting experience in the elevator where a member of staff discussed with an escort lady (in Russian) how someone is willing pay £1000 for an evening. I was left extremely embarrassed in front of my wife's parents who had to listen to this conversation. I thought I booked an evening in a classy venue, not a brothel.",1,2 months ago
7,"Great atmosphere. Great seeing the fireworks without view being obstructed. Great place to ring in the New Year. Nice prosecco too, loved the gold bottles! Thank you for a great evening.",5,3 weeks ago
8,"Love view, staff unbelievable helpful and funny. Food/snacks has failed all experience. Hope they will improve",3,2 weeks ago
9,"Really disappointed! We had their tasting menu and it was not as good as the previous ones we’ve had in the past. Maybe they have a new chef? Or have they become quite popular that they went for quantity over quality? Honestly, the only redeeming thing on the whole meal was the amuse-bouche. The rests were total disaster! The ambiance of the place has gone from being a fancy restaurant to a pub with a nice view. There was a band doing a Britney Spears song for crying out loud! The cocktails were also not that great! This is such a shame as we’ve been recommending this place to our contacts. But after out latest experience, we would avoid this restaurant from now on. This is London. There’s plenty of great restaurants around.",1,2 months ago
10,"I had previously been to the coffee shop here but my friend suggested the roof top bar, which I had no knowledge about. Wow! There were great comfortable seating areas and the views were amazing! We sat outdoors, beneath the heaters, I could remove my coat as it felt like being seated indoors. Booking this place for a friend's engagement drinks soon.",5,2 months ago
11,"Great place, great service. Staff very friendly. Food was delicious. Amazing views. Price was little it dear but it was worth it. It's a definitely place for celebration. Would definitely go back there.",5,2 months ago
12,"Very nice bar on the 39th floor. Feels pretty high up there and a great view over South West London. Nice decor and not too busy after work in the week. Fair price drinks (same price as others around there), £5 -£7 bottles of beer",5,2 months ago
13,"favourite spot in London. I come here often as the view is amazing. Call them if you want to have a table by the window as it gets pretty busy at night, especially weekends.",5,a month ago
14,"The best view on canary. Walk-in breakfast for £25 if you are not staying at Novotel. Not that great, for that amount of money I would expect at least smoked salmon available. However there was good selection of cheese and tasty guacamole:)Great spot for drinks in the evening. big rooftop open summertime. They have live music sometimes 👌",5,3 months ago
15,"Fabulous lunch today with our wonderful friends from New Zealand. Tim duty manager really looked after us, so charming! The waitresses in bokan restaurant were lovely, nothing was too much trouble, the food was excellent. Views over the city are fabulous. Thank you everyone, we will definitely be coming back again",5,2 months ago
16,Best bar I ever was. The waitress are very very polite and funny. The view is absolutely beautiful.,5,a week ago
17,"Beautiful bar with the most incredible view. Two floors of luxury wood and brass paneled cozy spaces, with lush views of the city, and then a terrace and smoking area upstairs. Great drink selection, a few non alcoholic cocktails, and overall a charming hotel that it is inside of!",5,2 months ago
18,"I love this place for after work drinks. An upbeat atmosphere with stunning views across London and a great drinks selection. It’s always buzzing but in a relaxing way, not a hyped up boozy way. Also a great spot for a Sunday morning coffee. Book for post-work drinks if you want a table with a view",4,5 months ago
19,Very characteristic place where you can admire the city from one of the highest rooftop! Don’t miss the sunset! Cocktails are nice and refined!,5,6 days ago
20,If you want to explore London's skyline in a modern and fancy yet not too pretentious environment with a good cocktail in hand it's a must!,5,a week ago
21,"The place is beautiful, I've been to the cafe and rooftop and the view is great. Pricing is reasonable and drinks are pretty interesting. I have to admit though the table service was lacking. Quick in serving drinks, but incredibly slow in serving the ordered cheese board and dessert. Also asked for tap water twice and for the bill twice and the waitress didn't seem to remember. Other than that the quality was good.",5,6 months ago
22,It's a perfect spot for a sundowner and my friend loved the 'British Maori' cocktail. Staff were friendly and we really enjoyed the live band and funky house music later into the night.,5,a month ago
23,Spotted this place whilst staying at neighbouring hotel in the Docklands area and thought we'd give it a go on a Saturday night. We were lucky enough to get a table to enjoy the magnificent views over London. It's a perfect spot for a sundowner and my friend loved the 'British Maori' cocktail. Staff were friendly and we really enjoyed the live band and funky house music later into the night. We'll definitely return next time we're in London.,5,5 months ago
24,"Very good service, cosy environment, bird's eye views of Isle of Dogs. Highly recommended for cocktails or coffee in the morning.",5,a month ago
25,"We went to the rooftop bar with my family for having a drink and take our easy dinner after walking around all day. I could say cocktails were fine and the view is amazing to start with some positive points. But about the food I can't say anything good. I ate defenetely my worst burger in my life. It came in cold, arid bun with an overcooked meatloaf inside served with stale fries together. The duck salad was also pretty tasteless. Normally I'd send them back all immediately but we were too hungry so just ate and paid for it. Unfortunately non of the servers asked us if we were satisfied or not, actually it seemed they not even cared about. It is a shame because this fantastic location bar could be much better. 😉",2,5 months ago
26,"The atmosphere and the view is just amazing. However, there is a lot of point that It did not make me feel comfortable. 1) Not very good organised, we gave our name four times to their staff. They did not look much coordinated to manage our reservation 2) Overpriced, we paid £79 each of us for a chef's tasting experience and it was terrible bad. Each meal took around 15' minutes to arrive and the quality is not the best. There is no previous introduction or explanation for each dish. Definitely, we won't go again. you can get better service and quality food for the same price. 3) Drinks and Wine - overpriced, we paid £30 for a red wine, the cheapest in the list and another £30 for a cocktail and one double G&T.",2,5 months ago
27,"Beautiful views and top class food. Thanks to the chef from Dubai, his food was great.",5,a month ago
28,"View is great, food is not the best though. Drinks are made well and service is excellent.",4,2 weeks ago
29,This place is great and worth a visit for the great views it has a good bar selection and good bar staff. Staff are friendly and helpful. Wrap up if you're going to the roof terrace in winter though.,5,3 months ago
30,FABULOUS view of London . Food is fancy but didn't hit the spot for.me.,3,2 weeks ago
31,Lovely view from the rooftop bar. Great food as well. Perfect for friday night out.,5,a month ago
32,Really nice meal. Unsurprisingly the views were spectacular. All the staff were very knowledgeable and polite. Definitely worth a visit although prices did seem a bit steep although I guess you are paying for the surroundings/ experience as well as the food and drink.,5,5 months ago
33,Amazing views but food and service was very poor. Pop in here for drinks but definitely not food!,2,a month ago
34,Amazing location. Pity they feel the need to put a service charge on a drink served at the bar that's already overpriced.,2,a month ago
35,"Have been coming to Bokan since Novotel opened. Absolutely love the place. A great bar, decent selection of snacks and a good enough Menu. As you'd expect in Canary Wharf, prices are high, so a regular meal here is unlikely. I usually attend with friends for some drinks and to enjoy the view. The restaurant itself is 2 floors and the highest floor is the open balcony, which in winter has powerful heating, so you can enjoy the open view of the skyline and be warm in doing so. Has all facilities you would need, including toilets and lifts. Although I can't remember seeing a lift to access the highest open balcony platform, so unsure of that. Here are some pictures of the iconic London skyline on a foggy day. Do follow my Instagram @vilbun_dsouza_captures for unique captures",5,2 weeks ago
36,"Incredible views, great food and drink, though staff needs more training",4,3 weeks ago
37,"Beautiful views, love the view especially from the rooftop. Drinks were a little pricey but still worth it.",5,a month ago
38,Was not impressed with their breakfast buffet. Staff was good but there was little they could do to overall experience with the variety of dishes in budget being just too less.,3,a month ago
39,"We have been visiting Bokan yesterday the 15th of February.we had the best service ever.we all felt very welcome.the lady who was looking after us at the restaurant,her name Ornella, was very professional,polite,informative and very warm person. We had the brunch menu with free flowing proseco ,so we had limited time to sit there,but no one rushed us and we never had to ask to fill our glasses with proseco. After we went to the bar to have few cocktails and to enjoy beautiful views from the 38th floor.all the staff was very attentive. Definitely will be coming back,we all had a nice afternoon. Thank you so much Bokan for a fab day.",5,3 weeks ago
40,"Fantastic place to visit even just for a drink. The views are fantastic, bar food and drink prices not outrageous. Can get very busy and noisy but well worth the visit if you are in the area.",4,3 months ago
41,Amazing views over Canary Wharf and the rest of the city. Very good service and curated cocktails. I didn't try the restaurant but the drunk session it's worth the money.,5,5 months ago
42,Great views but expect to wait some time to order a drink!,2,3 weeks ago
43,Top notch personable service at the bar which serves a wide selection of cocktails. Amazing views of London from the rooftop. Would recommend!,5,4 months ago
44,Good service and food... amazing views,5,4 weeks ago
45,"Food and view was amazing, shame they took the lobster off the menu but was happy with the other options.",5,2 months ago
46,"Good atmosphere and a nice place to enjoy the sunset over London. However there is no table service on the 39th floor. I had to clear the table myself and went downstairs at the bar to order. Despite this, I got the automatic 12.5% service charge although I only got 2 beers. This is not a service charge, it’s a greed tax.",3,5 months ago
47,"Incredible views, delicious drinks and amazing interior.",5,a week ago
48,Great place for a date. Atmosphere is appropriate any time.,5,a month ago
