,Content,Date,Rating,Restaurant Name,Review ID
0,"For about 2 years I've dinned at Bokan approximately 4 times a month and maybe even more. I even chose Bokan for Christmas lunch. I think I could be considered a good, if not a very loyal client. I have never pulled rank, never asked for special treatment and never got stressed out over the placement of the table. I have now planned a dinner for 6 at Bokan next month. For this one time I asked if I could reserve a table of my choice for this very special group of people to experience the restaurant. I was told very plainly and clearly ..... NO, IT IS NOT OUR POLICY! I was even told by one staff member that if I came 2 hours in advance of the dinner at 6pm I could then take the table of my choice because the place would be empty !!!! Now, I have been dining in the best restaurants in the world for about 60 years in fact long before any of the Bokan staff could even spell the word restaurant. The fact that for one time I'm not able to book a table of my choice proves several facts. 1. There is no restaurant / customer loyalty. 2. The management of the restaurant really has no idea what world class dining is about! 3. The customers of Bokan are merely a number and the place clearly caters to the transient diner with whom they need not establish a rapport or a relationship with. Considering this attitude of Bokan I will take my custom as well as my friends elsewhere. We will dine on the special evening mentioned at C. London (Cipriani) where I can book the table I feel comfortable at, where the table linens are as exquisite as the food and the white uniformed staff is smiling, courteous, and care about me ...... the customer. Goodbye Bokan. Your mediocre service will not take you far. By the way, The Ivy In The Park is also a wonderful restaurant that cares about their clients.",January 2020,3.0,Bokan 37 Restaurant,743086109
1,Whaou,January 2020,5.0,Bokan 37 Restaurant,739899453
2,"I dined here with friends on a Saturday night, restaurant was not crazy busy and we had a wonderful table by the window with an amazing view. This was the only positive point I can say about my dinner experience. It was not the first time for me here, I visited the bar and the restaurant few times and this was very disappointing: we went with the tasting menu and between the first 3 courses we waited a crazy amount of time (30/40 minutes) and we then asked if it was possible to speed up a little bit. After our request was taken very seriously and we did not even have the time to finish the following course that we have our plate cleared and the new course on the table.",January 2020,2.0,Bokan 37 Restaurant,741502709
3,Took my friend for her birthday it was one of the best restaurants experiences I have had in London. The staff was so so helpful and could not do enough to help you and spoke us over everything we ate and drank.,January 2020,5.0,Bokan 37 Restaurant,741703006
4,"What a great place we chose for our bottomless brunch, never once had an empty glass for two hours! Never rushed us off the table. Stayed all afternoon. The food was AMAZING. Staff were great and can’t wait to return. Oh and the views are incredible even in Storm Dennis!!",February 2020,5.0,Bokan 37 Restaurant,745907605
5,"Having been recommended this restaurant by my daughter, I can honestly say it went above and beyond my expectations. The staff were so attentive, food was out of this world (had to shake the chef's hand and say thank you) view is amazing. If you are looking for that somewhere special then this is the place.",March 2020,5.0,Bokan 37 Restaurant,749456278
6,"We were on site so decided to visit. We shared a few starters and a main with a couple of cold beers. We arrived as the restaurant opened and were told there were only two lobsters left if that was what we fancied. Hopeless...The starters were good, we enjoyed those but when the mains finally arrived over an hour later all were dry and tasteless. For close to £ 300 pounds you would expect much, much better and I won’t bother again. Enjoy....",January 2020,2.0,Bokan 37 Restaurant,741474592
7,"We went to dinner with my partner in this restaurant, and we came out absolutely smitten. The setting and the view are sublime, the atmosphere is warm, the team is very professional, and the dishes will amaze you with their flavours.",January 2020,5.0,Bokan 37 Restaurant,739999991
8,"Highly recommend the food! The most amazing location and the best chefs!great view, amazing food, exciting flavours that I've never tried before! I went with my friends and with my family! Great place for romantic dinner ❤",February 2020,5.0,Bokan 37 Restaurant,746568155
9,The best food cooked by amazing chefs# served by very friendly staff! Amazing view as well! Highly recommend the restaurant #,February 2020,5.0,Bokan 37 Restaurant,746567050
10,"Having been recommended this restaurant by my daughter, I can honestly say it went above and beyond my expectations. The staff were so attentive, food was out of this world (had to shake the chef's hand and say thank you) view is amazing. If you are looking for that somewhere special then this is the place.",March 2020,5.0,Bokan 37 Restaurant,749456278
11,Whaou,January 2020,5.0,Bokan 37 Restaurant,739899453
12,"We went to dinner with my partner in this restaurant, and we came out absolutely smitten. The setting and the view are sublime, the atmosphere is warm, the team is very professional, and the dishes will amaze you with their flavours.",January 2020,5.0,Bokan 37 Restaurant,739999991
13,"I dined here with friends on a Saturday night, restaurant was not crazy busy and we had a wonderful table by the window with an amazing view. This was the only positive point I can say about my dinner experience. It was not the first time for me here, I visited the bar and the restaurant few times and this was very disappointing: we went with the tasting menu and between the first 3 courses we waited a crazy amount of time (30/40 minutes) and we then asked if it was possible to speed up a little bit. After our request was taken very seriously and we did not even have the time to finish the following course that we have our plate cleared and the new course on the table.",January 2020,2.0,Bokan 37 Restaurant,741502709
14,"For about 2 years I've dinned at Bokan approximately 4 times a month and maybe even more. I even chose Bokan for Christmas lunch. I think I could be considered a good, if not a very loyal client. I have never pulled rank, never asked for special treatment and never got stressed out over the placement of the table. I have now planned a dinner for 6 at Bokan next month. For this one time I asked if I could reserve a table of my choice for this very special group of people to experience the restaurant. I was told very plainly and clearly ..... NO, IT IS NOT OUR POLICY! I was even told by one staff member that if I came 2 hours in advance of the dinner at 6pm I could then take the table of my choice because the place would be empty !!!! Now, I have been dining in the best restaurants in the world for about 60 years in fact long before any of the Bokan staff could even spell the word restaurant. The fact that for one time I'm not able to book a table of my choice proves several facts. 1. There is no restaurant / customer loyalty. 2. The management of the restaurant really has no idea what world class dining is about! 3. The customers of Bokan are merely a number and the place clearly caters to the transient diner with whom they need not establish a rapport or a relationship with. Considering this attitude of Bokan I will take my custom as well as my friends elsewhere. We will dine on the special evening mentioned at C. London (Cipriani) where I can book the table I feel comfortable at, where the table linens are as exquisite as the food and the white uniformed staff is smiling, courteous, and care about me ...... the customer. Goodbye Bokan. Your mediocre service will not take you far. By the way, The Ivy In The Park is also a wonderful restaurant that cares about their clients.",January 2020,3.0,Bokan 37 Restaurant,743086109
15,Took my friend for her birthday it was one of the best restaurants experiences I have had in London. The staff was so so helpful and could not do enough to help you and spoke us over everything we ate and drank.,January 2020,5.0,Bokan 37 Restaurant,741703006
16,"We were on site so decided to visit. We shared a few starters and a main with a couple of cold beers. We arrived as the restaurant opened and were told there were only two lobsters left if that was what we fancied. Hopeless...The starters were good, we enjoyed those but when the mains finally arrived over an hour later all were dry and tasteless. For close to £ 300 pounds you would expect much, much better and I won’t bother again. Enjoy....",January 2020,2.0,Bokan 37 Restaurant,741474592
17,"What a great place we chose for our bottomless brunch, never once had an empty glass for two hours! Never rushed us off the table. Stayed all afternoon. The food was AMAZING. Staff were great and can’t wait to return. Oh and the views are incredible even in Storm Dennis!!",February 2020,5.0,Bokan 37 Restaurant,745907605
18,The best food cooked by amazing chefs# served by very friendly staff! Amazing view as well! Highly recommend the restaurant #,February 2020,5.0,Bokan 37 Restaurant,746567050
