,Content,Date,Rating,Restaurant Name,Review ID
0,"Fantastic views over London, day or night. Staff were friendly & efficient. Food was good quality. Definitely worth a visit even if you are not staying at the hotel.",February 2020,4.0,BOKAN 38 Bar & 39 Rooftop,748446054
1,We visited the bar in December 2019. Waiting for a long time to be seated. Very nice views of London. Staff tends to ignore you. Cocktails served in different types of glasses. We did not enjoy the food in the restaurant.,December 2019,2.0,BOKAN 38 Bar & 39 Rooftop,735164769
2,Went for a drink at the bar but was ignored by staff. So I cannot comment on drinks or food. Restaurant might be nice but avoid the bar.,November 2019,1.0,BOKAN 38 Bar & 39 Rooftop,731258294
3,"This was my first time visiting the Bokan having seen/heard many positive comments. My initial perception of the place was that it seemed very cool and modern which was followed by a vibrant atmosphere. I was lucky enough to find a window table which showcased just how amazing London is and how the Bokan Bar rooftop bar is truly a picturesque setting. The staff were friendly, in particular a guy named Breno who was highly attentive and provided a personable service. We were one of, if not the last persons to leave the bar and he ensured our glass was always full until the minute we left. Thanks Breno for your fantastic service and thank you Bokan for offering such a fantastic place to enjoy drinks in London. I will be returning. 100% recommended. My only feedback would be to extend opening hours.",December 2019,5.0,BOKAN 38 Bar & 39 Rooftop,731906126
4,It's obvious most come for the views which are spectacular. The staff are very friendly and pleasant. The security seemed good too as there were a few guys walking around and keeping an eye out. That's crucial especially with a place so high up.,January 2020,4.0,BOKAN 38 Bar & 39 Rooftop,740082393
5,Perfect roof top bar in Canary Wharf for summer drinks and catching up. On occasion they have a live band which adds to the chilled out vibes!,August 2019,5.0,BOKAN 38 Bar & 39 Rooftop,730058592
6,"Me and my girlfriend went for couple of drinks to celebrate her b-day at Bokan bar 38. We been served by Martina, who recommend us very nice cocktail called 'old venues' which we really enjoyed and planning to come back to see amazing view from the bar and scenery of the river and city center. Truly recommended.",October 2019,5.0,BOKAN 38 Bar & 39 Rooftop,731680592
7,"Bokan is a 3 level rooftop bar, with a view over whole London, from the City. The atmosphere is relaxed and cheerful, there is live music and friendly service. The prices are very reasonable and it is just a perfect start for a Friday night!",February 2020,5.0,BOKAN 38 Bar & 39 Rooftop,742334709
8,"I am coming very often at Bokan with my friends and always had a great experience, nice cocktails and friendly staff. However yesterday evening we did face a different attitude from the bartender Martina which was very rude to us and did not prepare the cocktail that we have asked and when we asked her for the cocktail that we wanted she started to argue saying that this is the cocktail and even start to laugh with her colleague and talking about us. I was shocked that at Bokan they still have people with this kind of attitude that don’t even bother about the guest requests. Very unprofessional. Really hope the management will take further actions.",February 2020,2.0,BOKAN 38 Bar & 39 Rooftop,745371622
9,Amazing view and even better cocktails. Thanks to Stefano the cocktail maestro!,February 2020,5.0,BOKAN 38 Bar & 39 Rooftop,748385648
10,"I was reccomended this venue by a waiter in another restaurant, I was skeptic upon reading the reviews but I decided why not to give it a shot. I don't understand the negative reviews! The place gets pretty crowded but that's normal when the view and the cocktails are so great! I didn't have any food but upon prying from other tables it looked great. I guess I will have to go back for that :)",November 2019,5.0,BOKAN 38 Bar & 39 Rooftop,728349677
11,"Went after work last few for couple of drinks - didn't realise until end of the evening a 12.5% service charge was added to every round or drinks that WE ordered at the bar. Then WE took back to our seats?? Can't understand why that was - service is for ""service"" not for someone doing their job/making drinks?? It does not say this anywhere until you have actually paid for your drinks and then it is on the receipt.",September 2019,3.0,BOKAN 38 Bar & 39 Rooftop,715183063
12,Worth the view. We popped in here for a drink after work. It was a cloudy day but the view was amazing. G&T was £10 which is a bit pricey but probably par for the course in this area,September 2019,4.0,BOKAN 38 Bar & 39 Rooftop,713299145
13,"Ate here with friends from out of town, had been many times for drinks but not to the restaurant. The food was delicious though the portions were quite small and dinner took an hour and a half to arrive so didn't hazard ordering desert.",September 2019,3.0,BOKAN 38 Bar & 39 Rooftop,710680106
14,"Visited here in Sept with my son so that we could experience the views from the bar and we were not disappointed. Staff are courteous and friendly. We ordered a couple of drinks but they also do some light bites that did look really nice. We were pushed for time so ordered a dish of salted mixed nuts to go with our drinks and we then relaxed and took in the views. Would highly recommend this place for a nice drink, great staff and wonderful views across the city.",September 2019,5.0,BOKAN 38 Bar & 39 Rooftop,717949140
15,"We loved it! Absolutely fabulous view. Service really nice and polite, food delicious, worthy to visit.",July 2019,5.0,BOKAN 38 Bar & 39 Rooftop,721787500
16,"The views to the city with the tower bridge and Shard are amazing, there's also an open terrace and there's a great selection of drinks and snacks to pair the view ;-)",October 2019,5.0,BOKAN 38 Bar & 39 Rooftop,719884089
