,Restaurant Name,Review ID,Date,Content,Rating
0,Madhu's,739447935,January 2020,"The food was absolutely wonderful from preparation to presentation, very pleasing.I just wanted to say that, in addition to nice meal, we had a delightful waiter Franco, Very kind. Definitely will visit Madhus very soon.Thank you very much Franco for the excellent service.",5.0
1,Madhu's,739773109,January 2020,The food was amazing. Our waiter Franco was exceptional. He was very attentive and friendly. The atmosphere was just right really enjoyable . I will definitely be visiting again soon.,5.0
2,Madhu's,738529074,January 2020,It was an awesome experience dining at the restaurant on thursday evening. The food was absolutely delicious and the service next to none. There were two members of staff who were outstanding during this namely Rahul and Rohan.They were v attentive and helpful throughout and v pleasant. We had vegetarian food and the Mogo was superb. V clean and lovely ambience. I would recommend this restaurant.,5.0
3,Madhu's,739981237,January 2020,"Excellent service, excellent food and great ambience. Had 43 guests and everyone, from elderly to kids, enjoyed the food. Our waiter, Franco and Rahul were so caring and friendly. I already had my friends saying that they would be visiting Madhu's again. The arrangements made were simply great - the manager, Khush, was very understanding and patient with me as I had a hundred questions - giving him a call everytime for anything I was unsure about prior to the function! Also, had a guest who had gluten and dairy allergy and the team were understanding and made sure that guest was aware of the ingredients in the dishes. All the guests were very well looked after and catered for. All the arrangements made were discussed with me and then finalised.",5.0
4,Madhu's,740251404,January 2020,Food was good cannot say too good but staff and service was excellent.,4.0
5,La Dolce Vita,737560471,January 2020,"Yet another fabulous lunch at La Dolce Vita. I started the New Year determined to break out of my habits and try doing something different. So although we decided to go to one of our favourite places for lunch I did choose something different on the menu, which is also a new addition. The tagliatalle vongole with pistachio chilli and garlic. I think this is a southern Italian/Sicilian speciality. It may seem an odd combination but it is divinely moreish. I used to have the boar ragu which is also delicious but a craving for seafood usually means you need something it offers. The clams were plump and meaty and melt in the mouth and the combination of flavours perfect. My family loved their pasta with swordfish and seafood special, the corn fed chicken with mushrooms, huge thin real italian pizza and we started with perfect calamari and prawns - not greasy or chewy but crisp and perfectly cooked. Bread and olives are also complimentary unlike some places which sadly overcharge for this. House wine is fine. As ever Maurizio is the perfect host and you cannot get a warmer welcome. The ambience is lively and a real mix of clientele. Looking forward to a return visit when my resolution will probably go out the window!",5.0
6,Mezzet Lebanese Restaurant,742384218,February 2020,"Tasty and homemade food inside a calm and cozy atmosphere. We were served by Jonas who suggested some nice entries and mains, always with a friendly smile and very helpful. Good portions sizes with a lovely dessert in the end. We definitely coming back.",4.0
7,La Dolce Vita,738142492,January 2020,What a find in Londonderry an amazing place with amazing food and amazing service and food. This was a date night and it was an a amazing time with everything first class. Will be back and we’ll done to the team,5.0
8,La Dolce Vita,739253095,January 2020,"Very good food in this amazing restaurant, fantastic service and lovely atmosphere. We will be back ..",5.0
9,La Dolce Vita,737312217,January 2020,"Not only was the food impeccable, along with the appreciation for international cuisine - the stunning array of wine that was at stake, this was truly an experience worth sharing with someone dear to you!",5.0
10,Mezzet Lebanese Restaurant,734348513,December 2019,"Once again my favourite restaurant doesn’t disappoint. Fantastic service, even better food. Big shout out to Jonas,l and the restaurant is looking great at Christmas. Thank you.",5.0
11,The French Table,733930317,December 2019,Been a few times now and these guys never let you down. Food is creative and extremely well cooked and presented. We had the venison and guinea fowl main courses - both great. Cheeseboard is a tour de force. Service is superb. And all excellent value for money. London fine dining at suburban prices.,5.0
12,The French Table,731617432,December 2019,"Amazing food, must go! If you don’t your missing out on delicious inexpensive food and great craftsmanship.",5.0
13,Madhu's,730947496,December 2019,! visited Madhus 5th dec with some clients. it was their first time there. feedback was extremely positive. they thoroughly enjoyed the flavor ( not the chillies) of the dishes chose and the variety that was on offer.,5.0
14,Madhu's,731049766,December 2019,"Great evening, fabulous food, wonderful service, lovely ambiance.",5.0
15,Madhu's,731235532,December 2019,"A special thanks to our waiter Augustine, who was very attentive during our dinner at Madhus. Excellent friendly customer service. The food also never disappoints here.",5.0
16,Madhu's,732715536,December 2019,Fabulous service from everyone. Special mention for Kush and Augustine who gave us wonderful service and couldn’t do enough. Would highly recommend for excellent food and excellent service. Thank you so very much indeed.,5.0
17,Madhu's,732699898,November 2019,Weekdays service is much quicker. Staff is great! I'd give 5 star to Rahul there who served us. I'd suggest Pre-booking for weekends. Parking is at a little walk but its a very busy area so cant complaint. If using parking facility do not forget to let staff know about your car registration as soon you arrive at Madhu's,5.0
