Restaurant Name,Price_range,Cuisine,number_of_reviews,Overall_rating,Sub_Ratings,tags,number_of_pics,number_of_5classes_ratings
Tamara Lounge,££ - £££,"['Indian', 'Asian', 'Vegetarian Friendly']",668,4,"[3.5, 3.0, 3.0, 3.5]","['chilli paneer ', 'lamb ', 'shisha lounge ', 'shisha place ', 'great shisha ', 'dance floor ', 'amazing food ', 'indian food ', 'sami ', 'mido ', 'dj ']",145,"['349', '84', '69', '51', '114']"
Umi,££ - £££,"['Japanese', 'Sushi', 'Asian']",390,5,"[5.0, 5.0, 5.0]","['sushi ', 'bento box ', 'wasabi prawns ', 'green tea ice cream ', 'gyoza ', 'california roll ', 'sea bass ', 'japanese restaurant ', 'the dragon ', 'excellent japanese food ', 'plum wine ', 'high quality food ', 'his customers ', 'last night ', 'wonderful evening ', 'great restaurant ', 'varied menu ']",192,"['358', '18', '5', '0', '0']"
Ottimmo Bao Bao,£,"['Japanese', 'Asian', 'Vegetarian Friendly']",107,5,"[5.0, 5.0, 5.0]","['soft shell crab ', 'bao ', 'duck ', 'sweet potato fries ', 'salad ', 'udon soup ', 'spring rolls ', 'wings ', 'delicious food ', 'asian cuisine ', 'flower tea ', 'love this place ', 'cash point ', 'small place ', 'great little place ', 'firm favourite ', 'light lunch ']",71,"['102', '5', '0', '0', '0']"
Rendez Vous Caffe,££ - £££,"['Cafe', 'British', 'International']",249,5,"[5.0, 5.0, 4.5, 5.0]","['brunch ', 'veggie breakfast ', 'eggs royale ', 'tuna ', 'wraps ', 'cakes ', 'sandwich ', 'lasagna ', 'brownie ', 'lunch break ', 'turkey rashers ', 'lovely cafe ', 'great coffee ', 'local cafe ', 'his customers ', 'yummy food ', 'service was impeccable ']",164,"['236', '6', '1', '2', '3']"
La Dolce Vita,££ - £££,"['Italian', 'Pizza', 'Mediterranean']",1010,5,"[5.0, 5.0, 4.5, 4.5]","['pizza ', 'fettuccine ', 'sardines ', 'arancini ', 'calves liver ', 'tiramisu ', 'bread and olives ', 'pasta dishes ', 'mash ', 'scallops ', 'sea bass ', 'lamb ', 'ice cream ', 'potatoes ', 'italian food ', 'see you soon ', 'generous portions ']",160,"['856', '102', '30', '5', '4']"
the Orpington,££ - £££,"['European', 'British', 'International']",123,5,"[5.0, 5.0, 4.5]","['brunch ', 'salt beef sandwich ', 'aubergine parmigiana ', 'spring chicken ', 'poached eggs ', 'brownie ', 'soup ', 'bread ', 'record store ', 'high street ', 'supper club ', 'absolute gem ', 'delicious coffee ', 'proper chef ', 'retro feel ', 'red pepper ', 'every bite ']",64,"['118', '2', '2', '0', '1']"
The Lounge Cafe,£,"['British', 'Vegetarian Friendly', 'Vegan Options']",222,5,"[5.0, 5.0, 5.0]","['brunch ', 'smashed avocado ', 'homemade coleslaw ', 'chilli con carne ', 'shepherds pie ', 'poached eggs ', 'beans ', 'salmon ', 'cake ', 'salad ', 'community cafe ', 'wembley park ', 'football match at wembley ', 'the piri piri chicken ', 'the owner chef ', 'great vegetarian ', 'great cafe ']",69,"['182', '11', '0', '0', '2']"
Sidra,£,"['Lebanese', 'Cafe', 'Mediterranean']",135,5,"[5.0, 5.0, 4.5, 4.5]","['lunch ', 'wraps ', 'salad ', 'mezze platter ', 'chicken tagine ', 'middle eastern food ', 'healthy food ', 'for special occasions ', 'lebanese restaurant ', 'great cafe ', 'amazing cakes ', 'portions are generous ', 'fantastic food ', 'take away ', 'friendly service ', 'mezza ', 'southwest ']",66,"['124', '9', '1', '0', '0']"
Piate,££ - £££,"['Mediterranean', 'European', 'Vegetarian Friendly']",88,5,"[5.0, 5.0, 5.0]","['halloumi ', 'jumbo prawns ', 'lamb ', 'tapas ', 'bread ', 'cakes ', 'greek cypriot ', 'last night ', 'delicious food ', 'lovely restaurant ', 'be visiting again ', 'mouth watering ', 'chiswick ', 'chef ', 'hammersmith ', 'dishes ', 'dips ']",32,"['82', '4', '1', '0', '0']"
ITJL,£,"['Asian', 'Vegetarian Friendly', 'Vegan Options']",242,5,"[5.0, 5.0, 5.0]","['brunch ', 'veggie breakfast ', 'eggs benedict ', 'burger ', 'kebab ', 'colindale station ', 'special shout ', 'stay club ', 'local spot ', 'typical english breakfast ', 'fantastic customer service ', 'great coffee ', 'amazing food ', 'extensive menu ', 'place to eat ', 'love this place ', 'irina ']",81,"['225', '9', '1', '0', '3']"
